"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","casi_testati","ingressi_terapia_intensiva","note_test","note_casi","totale_positivi_test_molecolare","totale_positivi_test_antigenico_rapido","tamponi_test_molecolare","tamponi_test_antigenico_rapido","codice_nuts_1","codice_nuts_2"
"2021-01-20","ITA",3,"Lombardia",45.46679409,9.190347404,3650,428,4078,49620,53698,237,1876,438058,26405,518161,5311238,2748344,27,,,517952,209,5270348,40890,"ITC","ITC4"
"2021-01-21","ITA",3,"Lombardia",45.46679409,9.190347404,3644,411,4055,49000,53055,-643,2234,440880,26460,520395,5348951,2757927,16,,,520147,248,5298356,50595,"ITC","ITC4"
"2021-01-22","ITA",3,"Lombardia",45.46679409,9.190347404,3579,408,3987,49228,53215,160,1969,442631,26518,522364,5383007,2766601,21,,,522095,269,5323433,59574,"ITC","ITC4"
"2021-01-23","ITA",3,"Lombardia",45.46679409,9.190347404,3499,398,3897,48571,52468,-747,1535,444809,26622,523899,5414816,2773895,14,,,523621,278,5346945,67871,"ITC","ITC4"
"2021-01-24","ITA",3,"Lombardia",45.46679409,9.190347404,3428,405,3833,49171,53004,536,1375,445604,26666,525274,5437998,2780425,19,,,524902,372,5365448,72550,"ITC","ITC4"
"2021-01-25","ITA",3,"Lombardia",45.46679409,9.190347404,3412,407,3819,46158,49977,-3027,1484,450069,26712,526758,5456775,2786712,19,,,526376,382,5381975,74800,"ITC","ITC4"
"2021-01-26","ITA",3,"Lombardia",45.46679409,9.190347404,3530,392,3922,45046,48968,-1009,1230,452231,26789,527988,5480815,2791088,27,,,527298,690,5393263,87552,"ITC","ITC4"
"2021-01-27","ITA",3,"Lombardia",45.46679409,9.190347404,3573,377,3950,45088,49038,70,2293,454392,26851,530281,5525624,2800749,8,,,529252,1029,5426129,99495,"ITC","ITC4"
"2021-01-28","ITA",3,"Lombardia",45.46679409,9.190347404,3537,371,3908,45931,49839,801,2603,456106,26939,532884,5567301,2811665,18,,,531566,1318,5457271,110030,"ITC","ITC4"
"2021-01-29","ITA",3,"Lombardia",45.46679409,9.190347404,3490,379,3869,45645,49514,-325,1900,458254,27016,534784,5601457,2820413,28,,,533337,1447,5481950,119507,"ITC","ITC4"
"2021-01-30","ITA",3,"Lombardia",45.46679409,9.190347404,3454,377,3831,46310,50141,627,1832,459401,27074,536616,5640919,2829643,19,,,535301,1315,5510184,130735,"ITC","ITC4"
"2021-01-31","ITA",3,"Lombardia",45.46679409,9.190347404,3503,362,3865,47212,51077,936,1438,459879,27098,538054,5665413,2837007,7,,,536665,1389,5531042,134371,"ITC","ITC4"
"2021-02-01","ITA",3,"Lombardia",45.46679409,9.190347404,3489,371,3860,44615,48475,-2602,1093,463522,27150,539147,5682564,2842721,26,,,537728,1419,5545650,136914,"ITC","ITC4"
"2021-02-02","ITA",3,"Lombardia",45.46679409,9.190347404,3544,361,3905,42654,46559,-1916,912,466287,27213,540059,5705263,2847233,21,,,538440,1619,5558207,147056,"ITC","ITC4"
"2021-02-03","ITA",3,"Lombardia",45.46679409,9.190347404,3554,359,3913,43432,47345,786,1738,467193,27259,541797,5743914,2856882,20,,,540016,1781,5586597,157317,"ITC","ITC4"
"2021-02-04","ITA",3,"Lombardia",45.46679409,9.190347404,3539,362,3901,42995,46896,-449,1746,469348,27299,543543,5776961,2865764,29,,,541623,1920,5611029,165932,"ITC","ITC4"
"2021-02-05","ITA",3,"Lombardia",45.46679409,9.190347404,3549,359,3908,44294,48202,1306,2504,470500,27345,546047,5815964,2877075,15,,,543996,2051,5640491,175473,"ITC","ITC4"
"2021-02-06","ITA",3,"Lombardia",45.46679409,9.190347404,3540,354,3894,44415,48309,107,1923,472266,27395,547970,5852056,2885842,22,,,545694,2276,5665314,186742,"ITC","ITC4"
"2021-02-07","ITA",3,"Lombardia",45.46679409,9.190347404,3467,358,3825,45015,48840,531,1515,473192,27453,549485,5879680,2894441,14,,,547114,2371,5687920,191760,"ITC","ITC4"
"2021-02-08","ITA",3,"Lombardia",45.46679409,9.190347404,3491,362,3853,42521,46374,-2466,895,476502,27504,550380,5893600,2899283,22,,,547948,2432,5699756,193844,"ITC","ITC4"
